# PROJECT: BEYOND THE FACADE - Physiological Response Monitoring Prototype
# DISCLAIMER: Educational/Research Prototype Only. Not a medical diagnostic device or lie detector.
timestamp_iso,elapsed_seconds,raw_signal,bpm,mode
2026-09-12T02:02:56.274517,0.002,558,74,DEMO
2026-09-12T02:02:56.313671,0.041,537,74,DEMO
2026-09-12T02:02:56.352834,0.080,519,74,DEMO
2026-09-12T02:02:56.395619,0.123,514,74,DEMO
2026-09-12T02:02:56.426828,0.154,506,74,DEMO
2026-09-12T02:02:56.457726,0.185,503,74,DEMO
2026-09-12T02:02:56.488941,0.216,502,74,DEMO
2026-09-12T02:02:56.519661,0.247,501,74,DEMO
2026-09-12T02:02:56.553136,0.280,499,74,DEMO
2026-09-12T02:02:56.596020,0.323,501,74,DEMO
2026-09-12T02:02:56.626691,0.354,498,74,DEMO
2026-09-12T02:02:56.657509,0.385,499,74,DEMO
2026-09-12T02:02:56.689488,0.417,520,74,DEMO
2026-09-12T02:02:56.719834,0.447,552,74,DEMO
2026-09-12T02:02:56.752275,0.479,606,74,DEMO
2026-09-12T02:02:56.784314,0.511,662,74,DEMO
2026-09-12T02:02:56.828035,0.555,668,73,DEMO
2026-09-12T02:02:56.858883,0.586,620,73,DEMO
2026-09-12T02:02:56.889456,0.617,565,73,DEMO
2026-09-12T02:02:56.920496,0.648,529,73,DEMO
2026-09-12T02:02:56.952737,0.680,535,73,DEMO
2026-09-12T02:02:56.984113,0.711,561,73,DEMO
2026-09-12T02:02:57.012033,0.739,568,73,DEMO
2026-09-12T02:02:57.044077,0.771,564,73,DEMO
2026-09-12T02:02:57.074656,0.802,556,73,DEMO
2026-09-12T02:02:57.105815,0.833,537,73,DEMO
2026-09-12T02:02:57.136827,0.864,523,73,DEMO
2026-09-12T02:02:57.168649,0.896,506,73,DEMO
2026-09-12T02:02:57.213664,0.941,497,73,DEMO
2026-09-12T02:02:57.244801,0.972,495,73,DEMO
2026-09-12T02:02:57.276774,1.004,493,73,DEMO
2026-09-12T02:02:57.308102,1.035,495,73,DEMO
2026-09-12T02:02:57.339117,1.066,494,73,DEMO
2026-09-12T02:02:57.370892,1.098,493,73,DEMO
2026-09-12T02:02:57.401338,1.128,493,73,DEMO
2026-09-12T02:02:57.434576,1.162,497,73,DEMO
2026-09-12T02:02:57.477972,1.205,498,73,DEMO
2026-09-12T02:02:57.508456,1.236,518,73,DEMO
2026-09-12T02:02:57.539519,1.267,553,73,DEMO
2026-09-12T02:02:57.570971,1.298,614,73,DEMO
2026-09-12T02:02:57.601655,1.329,668,73,DEMO
2026-09-12T02:02:57.634243,1.361,680,73,DEMO
2026-09-12T02:02:57.678681,1.406,622,73,DEMO
2026-09-12T02:02:57.709203,1.436,567,73,DEMO
2026-09-12T02:02:57.740080,1.467,533,73,DEMO
2026-09-12T02:02:57.770922,1.498,546,73,DEMO
2026-09-12T02:02:57.802424,1.530,570,73,DEMO
2026-09-12T02:02:57.834610,1.562,581,74,DEMO
2026-09-12T02:02:57.878782,1.606,571,74,DEMO
2026-09-12T02:02:57.909753,1.637,556,74,DEMO
2026-09-12T02:02:57.940586,1.668,541,74,DEMO
2026-09-12T02:02:57.972353,1.699,523,74,DEMO
2026-09-12T02:02:58.004327,1.731,519,74,DEMO
2026-09-12T02:02:58.036040,1.763,512,74,DEMO
2026-09-12T02:02:58.067455,1.795,509,74,DEMO
2026-09-12T02:02:58.097607,1.825,509,74,DEMO
2026-09-12T02:02:58.128029,1.855,512,74,DEMO
2026-09-12T02:02:58.159388,1.887,512,74,DEMO
2026-09-12T02:02:58.190876,1.918,513,74,DEMO
2026-09-12T02:02:58.222063,1.949,512,74,DEMO
2026-09-12T02:02:58.252403,1.980,511,74,DEMO
2026-09-12T02:02:58.284515,2.012,517,74,DEMO
2026-09-12T02:02:58.316382,2.044,539,74,DEMO
2026-09-12T02:02:58.360675,2.088,582,74,DEMO
2026-09-12T02:02:58.391614,2.119,644,74,DEMO
2026-09-12T02:02:58.423015,2.150,689,74,DEMO
2026-09-12T02:02:58.454052,2.181,699,74,DEMO
2026-09-12T02:02:58.484826,2.212,658,74,DEMO
2026-09-12T02:02:58.517577,2.245,598,74,DEMO
2026-09-12T02:02:58.562301,2.289,558,74,DEMO
2026-09-12T02:02:58.593235,2.320,570,74,DEMO
2026-09-12T02:02:58.624312,2.351,590,74,DEMO
2026-09-12T02:02:58.654729,2.382,600,74,DEMO
2026-09-12T02:02:58.685479,2.413,594,74,DEMO
2026-09-12T02:02:58.717381,2.445,582,74,DEMO
2026-09-12T02:02:58.747298,2.474,566,74,DEMO
2026-09-12T02:02:58.777450,2.505,551,74,DEMO
2026-09-12T02:02:58.808721,2.536,538,74,DEMO
2026-09-12T02:02:58.839388,2.567,530,74,DEMO
2026-09-12T02:02:58.870668,2.598,529,74,DEMO
2026-09-12T02:02:58.902321,2.629,529,74,DEMO
2026-09-12T02:02:58.934044,2.661,525,74,DEMO
2026-09-12T02:02:58.964085,2.691,533,74,DEMO
2026-09-12T02:02:58.995367,2.723,529,74,DEMO
2026-09-12T02:02:59.025614,2.753,530,74,DEMO
2026-09-12T02:02:59.056882,2.784,525,74,DEMO
2026-09-12T02:02:59.087423,2.815,533,74,DEMO
2026-09-12T02:02:59.118723,2.846,543,74,DEMO
2026-09-12T02:02:59.151227,2.878,565,74,DEMO
2026-09-12T02:02:59.180707,2.908,610,74,DEMO
2026-09-12T02:02:59.211660,2.939,672,74,DEMO
2026-09-12T02:02:59.242337,2.969,706,74,DEMO
2026-09-12T02:02:59.273759,3.001,697,74,DEMO
2026-09-12T02:02:59.290240,3.017,678,74,DEMO
