# PROJECT: BEYOND THE FACADE - Physiological Response Monitoring Prototype
# DISCLAIMER: Educational/Research Prototype Only. Not a medical diagnostic device or lie detector.
timestamp_iso,elapsed_seconds,raw_signal,bpm,mode,event
2026-09-12T07:05:15.032636,0.090,587,240,HARDWARE,
2026-09-12T07:05:15.071686,0.129,873,0,HARDWARE,
2026-09-12T07:05:15.133490,0.191,918,0,HARDWARE,
2026-09-12T07:05:15.173236,0.231,919,0,HARDWARE,
2026-09-12T07:05:15.211340,0.269,919,0,HARDWARE,
2026-09-12T07:05:15.245341,0.303,919,240,HARDWARE,
2026-09-12T07:05:15.279171,0.337,919,0,HARDWARE,
2026-09-12T07:05:15.348932,0.407,918,240,HARDWARE,
2026-09-12T07:05:15.386812,0.445,917,0,HARDWARE,
2026-09-12T07:05:15.424717,0.482,588,240,HARDWARE,
2026-09-12T07:05:15.429327,0.487,0,0,HARDWARE,
2026-09-12T07:05:15.471010,0.529,0,0,HARDWARE,
2026-09-12T07:05:15.501814,0.560,0,0,HARDWARE,
2026-09-12T07:05:15.530517,0.588,0,0,HARDWARE,
2026-09-12T07:05:15.561496,0.619,0,0,HARDWARE,
2026-09-12T07:05:15.591358,0.649,0,0,HARDWARE,
2026-09-12T07:05:15.620812,0.679,0,0,HARDWARE,
2026-09-12T07:05:15.670692,0.728,0,0,HARDWARE,
2026-09-12T07:05:15.700405,0.758,0,0,HARDWARE,
2026-09-12T07:05:15.799498,0.857,740,0,HARDWARE,
2026-09-12T07:05:15.836518,0.894,917,0,HARDWARE,
2026-09-12T07:05:15.871153,0.929,894,0,HARDWARE,
2026-09-12T07:05:15.912498,0.970,719,183,HARDWARE,
2026-09-12T07:05:15.977618,1.035,541,0,HARDWARE,
2026-09-12T07:05:16.013562,1.071,552,240,HARDWARE,
2026-09-12T07:05:16.045392,1.103,594,240,HARDWARE,
2026-09-12T07:05:16.083993,1.142,651,240,HARDWARE,
2026-09-12T07:05:16.131936,1.190,651,0,HARDWARE,
2026-09-12T07:05:16.190448,1.248,598,240,HARDWARE,
2026-09-12T07:05:16.229252,1.287,607,0,HARDWARE,
2026-09-12T07:05:16.266721,1.324,587,240,HARDWARE,
2026-09-12T07:05:16.304112,1.362,565,240,HARDWARE,
2026-09-12T07:05:16.336224,1.394,560,240,HARDWARE,
2026-09-12T07:05:16.407297,1.465,597,0,HARDWARE,
2026-09-12T07:05:16.445437,1.503,566,0,HARDWARE,
2026-09-12T07:05:16.483680,1.541,548,0,HARDWARE,
2026-09-12T07:05:16.517232,1.575,573,199,HARDWARE,
2026-09-12T07:05:16.558194,1.616,619,0,HARDWARE,
2026-09-12T07:05:16.621191,1.679,555,240,HARDWARE,
2026-09-12T07:05:16.660502,1.718,587,0,HARDWARE,
2026-09-12T07:05:16.696383,1.754,620,0,HARDWARE,
2026-09-12T07:05:16.733722,1.791,616,0,HARDWARE,
2026-09-12T07:05:16.770991,1.829,602,0,HARDWARE,
2026-09-12T07:05:16.832516,1.890,588,0,HARDWARE,
2026-09-12T07:05:16.866136,1.924,584,0,HARDWARE,
2026-09-12T07:05:16.912931,1.971,656,0,HARDWARE,
2026-09-12T07:05:16.948648,2.006,631,57,HARDWARE,
2026-09-12T07:05:17.019274,2.077,615,0,HARDWARE,
2026-09-12T07:05:17.019772,2.077,615,57,HARDWARE,"QUESTION DISPLAYED: [RESTING] Steady and composed heart rate. Are you really this relaxed, or just a master of masking it?"
2026-09-12T07:05:17.060145,2.118,919,0,HARDWARE,
2026-09-12T07:05:17.090121,2.148,919,0,HARDWARE,
2026-09-12T07:05:17.127872,2.186,919,0,HARDWARE,
2026-09-12T07:05:17.165023,2.223,918,240,HARDWARE,
2026-09-12T07:05:17.195748,2.253,917,0,HARDWARE,
2026-09-12T07:05:17.223986,2.282,0,0,HARDWARE,
2026-09-12T07:05:17.257921,2.316,0,0,HARDWARE,
2026-09-12T07:05:17.283930,2.342,0,0,HARDWARE,
2026-09-12T07:05:17.314018,2.372,0,0,HARDWARE,
2026-09-12T07:05:17.347741,2.405,0,0,HARDWARE,
2026-09-12T07:05:17.389029,2.447,0,0,HARDWARE,
2026-09-12T07:05:17.417746,2.475,0,0,HARDWARE,
2026-09-12T07:05:17.481122,2.539,200,0,HARDWARE,
2026-09-12T07:05:17.534007,2.592,736,0,HARDWARE,
2026-09-12T07:05:17.565090,2.623,917,0,HARDWARE,
2026-09-12T07:05:17.603751,2.660,917,0,HARDWARE,
2026-09-12T07:05:17.675178,2.733,678,0,HARDWARE,
2026-09-12T07:05:17.707573,2.765,421,0,HARDWARE,
2026-09-12T07:05:17.745085,2.803,343,0,HARDWARE,
2026-09-12T07:05:17.786801,2.845,484,0,HARDWARE,
2026-09-12T07:05:17.817877,2.876,622,240,HARDWARE,
2026-09-12T07:05:17.882928,2.941,616,0,HARDWARE,
2026-09-12T07:05:17.921693,2.979,586,0,HARDWARE,
2026-09-12T07:05:17.952506,3.010,610,0,HARDWARE,
2026-09-12T07:05:17.999057,3.057,599,240,HARDWARE,
2026-09-12T07:05:18.040130,3.098,604,0,HARDWARE,
2026-09-12T07:05:18.101308,3.159,616,0,HARDWARE,
2026-09-12T07:05:18.139262,3.197,654,0,HARDWARE,
2026-09-12T07:05:18.172390,3.230,638,0,HARDWARE,
2026-09-12T07:05:18.214957,3.273,600,0,HARDWARE,
2026-09-12T07:05:18.252944,3.311,638,0,HARDWARE,
2026-09-12T07:05:18.317696,3.375,632,0,HARDWARE,
2026-09-12T07:05:18.354899,3.413,604,0,HARDWARE,
2026-09-12T07:05:18.395809,3.454,648,0,HARDWARE,
2026-09-12T07:05:18.432177,3.490,655,0,HARDWARE,
2026-09-12T07:05:18.468372,3.526,610,0,HARDWARE,
2026-09-12T07:05:18.532213,3.590,645,74,HARDWARE,
2026-09-12T07:05:18.570927,3.629,643,0,HARDWARE,
2026-09-12T07:05:18.609230,3.667,602,0,HARDWARE,
2026-09-12T07:05:18.648593,3.706,565,0,HARDWARE,
2026-09-12T07:05:18.682788,3.741,532,87,HARDWARE,
2026-09-12T07:05:18.748855,3.807,614,0,HARDWARE,
2026-09-12T07:05:18.782589,3.840,554,0,HARDWARE,
2026-09-12T07:05:18.822325,3.880,516,0,HARDWARE,
2026-09-12T07:05:18.864668,3.922,542,0,HARDWARE,
2026-09-12T07:05:18.898447,3.956,638,0,HARDWARE,
2026-09-12T07:05:18.964727,4.022,561,0,HARDWARE,
2026-09-12T07:05:19.001171,4.059,645,0,HARDWARE,
2026-09-12T07:05:19.038648,4.096,649,240,HARDWARE,
2026-09-12T07:05:19.076770,4.134,623,0,HARDWARE,
2026-09-12T07:05:19.115260,4.173,611,0,HARDWARE,
2026-09-12T07:05:19.137040,4.195,645,7,HARDWARE,
2026-09-12T07:05:19.215597,4.273,638,0,HARDWARE,
2026-09-12T07:05:19.254022,4.312,659,0,HARDWARE,
2026-09-12T07:05:19.291792,4.350,660,0,HARDWARE,
2026-09-12T07:05:19.328974,4.387,591,0,HARDWARE,
2026-09-12T07:05:19.392532,4.450,661,0,HARDWARE,
2026-09-12T07:05:19.430867,4.489,661,104,HARDWARE,
2026-09-12T07:05:19.468623,4.526,599,0,HARDWARE,
2026-09-12T07:05:19.505370,4.563,544,240,HARDWARE,
2026-09-12T07:05:19.544498,4.602,536,0,HARDWARE,
2026-09-12T07:05:19.605940,4.664,552,240,HARDWARE,
2026-09-12T07:05:19.648305,4.706,530,142,HARDWARE,
2026-09-12T07:05:19.684937,4.743,640,101,HARDWARE,
2026-09-12T07:05:19.721444,4.779,656,0,HARDWARE,
2026-09-12T07:05:19.758576,4.816,642,0,HARDWARE,
2026-09-12T07:05:19.822535,4.880,640,0,HARDWARE,
2026-09-12T07:05:19.859447,4.917,653,0,HARDWARE,
2026-09-12T07:05:19.900203,4.958,653,0,HARDWARE,
2026-09-12T07:05:19.932086,4.990,628,1,HARDWARE,
2026-09-12T07:05:19.972676,5.030,656,240,HARDWARE,
2026-09-12T07:05:20.040891,5.099,647,0,HARDWARE,
2026-09-12T07:05:20.075868,5.134,629,0,HARDWARE,
2026-09-12T07:05:20.116085,5.174,655,0,HARDWARE,
2026-09-12T07:05:20.150297,5.208,657,0,HARDWARE,
2026-09-12T07:05:20.187511,5.245,588,0,HARDWARE,
2026-09-12T07:05:20.250802,5.309,664,77,HARDWARE,
2026-09-12T07:05:20.290471,5.348,640,0,HARDWARE,
2026-09-12T07:05:20.327256,5.385,570,240,HARDWARE,
2026-09-12T07:05:20.365077,5.423,524,211,HARDWARE,
2026-09-12T07:05:20.403561,5.461,636,0,HARDWARE,
2026-09-12T07:05:20.466081,5.524,533,240,HARDWARE,
2026-09-12T07:05:20.504489,5.562,538,240,HARDWARE,
2026-09-12T07:05:20.542598,5.600,663,0,HARDWARE,
2026-09-12T07:05:20.581611,5.639,665,0,HARDWARE,
2026-09-12T07:05:20.617649,5.675,656,0,HARDWARE,
2026-09-12T07:05:20.682465,5.740,663,0,HARDWARE,
2026-09-12T07:05:20.719661,5.777,653,0,HARDWARE,
2026-09-12T07:05:20.757436,5.815,624,0,HARDWARE,
2026-09-12T07:05:20.795885,5.854,665,0,HARDWARE,
2026-09-12T07:05:20.833373,5.891,675,0,HARDWARE,
2026-09-12T07:05:20.897100,5.955,613,0,HARDWARE,
2026-09-12T07:05:20.934265,5.992,676,240,HARDWARE,
2026-09-12T07:05:20.972191,6.030,667,0,HARDWARE,
2026-09-12T07:05:21.002991,6.061,628,0,HARDWARE,
2026-09-12T07:05:21.047352,6.105,560,240,HARDWARE,
2026-09-12T07:05:21.072253,6.130,664,240,HARDWARE,
2026-09-12T07:05:21.102280,6.160,669,240,HARDWARE,
